Season,Race,Track,Pos,St,#,Driver,Sponsor / Owner,Car,Laps,Money,Status,Led,Pts
1985,1,Daytona,1.0,1.0,9.0,Bill Elliott,Coors (Harry Melling),Ford,200.0,185500.0,running,136.0,185.0
1985,1,Daytona,2.0,14.0,75.0,Lake Speed,Nationwise Auto Parts (Rahmoc Enterprises),Pontiac,200.0,85705.0,running,2.0,175.0
1985,1,Daytona,3.0,3.0,11.0,Darrell Waltrip,Budweiser (Junior Johnson),Chevrolet,199.0,79350.0,running,0.0,165.0
1985,1,Daytona,4.0,7.0,88.0,Buddy Baker,Liquid Wrench (Buddy Baker / Danny Schiff),Oldsmobile,199.0,53075.0,running,0.0,160.0
1985,1,Daytona,5.0,9.0,15.0,Ricky Rudd,Motorcraft / Camelot Motor Corp. (Bud Moore),Ford,199.0,52900.0,running,0.0,155.0
1985,1,Daytona,6.0,13.0,51.0,Greg Sacks,Bill's Bar-B-Q / TAP Engine Parts (Arnie Sacks),Chevrolet,199.0,44695.0,running,2.0,155.0
1985,1,Daytona,7.0,17.0,5.0,Geoffrey Bodine,Levi Garrett (Rick Hendrick),Chevrolet,198.0,42025.0,running,0.0,146.0
1985,1,Daytona,8.0,22.0,2.0,Rusty Wallace,Alugard (Cliff Stewart),Pontiac,197.0,34275.0,running,0.0,142.0
1985,1,Daytona,9.0,38.0,8.0,"Bobby Hillin, Jr.",Trap Rock Industries (Stavola Brothers),Chevrolet,197.0,24950.0,running,0.0,138.0
1985,1,Daytona,10.0,19.0,12.0,Neil Bonnett,Budweiser (Junior Johnson),Chevrolet,195.0,33415.0,engine,22.0,139.0
1985,1,Daytona,11.0,24.0,90.0,Ken Schrader,Ultra Seal (Junie Donlavey),Ford,195.0,25980.0,running,0.0,130.0
1985,1,Daytona,12.0,29.0,84.0,Mike Alexander,Sims Brothers Racing (Sims Brothers),Chevrolet,194.0,19800.0,running,0.0,127.0
1985,1,Daytona,13.0,26.0,74.0,Bobby Wawak,Superior Piping (Bobby Wawak),Chevrolet,192.0,18305.0,running,0.0,124.0
1985,1,Daytona,14.0,25.0,52.0,Jimmy Means,Broadway Motors / Down The Hatch (Jimmy Means),Chevrolet,192.0,20435.0,running,0.0,121.0
1985,1,Daytona,15.0,36.0,67.0,Morgan Shepherd,Jim Peacock Dodge (Buddy Arrington),Chrysler,190.0,15300.0,running,0.0,118.0
